iter	Logloss
0	0.681370231
1	0.6713503619
2	0.6626995311
3	0.6557708093
4	0.6487072853
5	0.6425622415
6	0.6367362035
7	0.6309475529
8	0.6258762732
9	0.6214199536
10	0.6171912543
11	0.6136029354
12	0.6098307
13	0.6059879509
14	0.6030923694
15	0.5998163899
16	0.5963360932
17	0.5931534999
18	0.5903867364
19	0.5880387236
20	0.5844171539
21	0.5814440376
22	0.5792416731
23	0.5763559506
24	0.5737500265
25	0.5706725818
26	0.5683578334
27	0.5663853598
28	0.5642651564
29	0.5622078745
30	0.5598259511
31	0.5580255703
32	0.5553710666
33	0.5532450026
34	0.5514324744
35	0.5493591046
36	0.5473097858
37	0.5460617073
38	0.5439423757
39	0.5423880175
40	0.5406511746
41	0.5388378628
42	0.5375666152
43	0.5363545277
44	0.5339809779
45	0.5321896053
46	0.5307283761
47	0.5289208969
48	0.5274675228
49	0.5258015981
50	0.5245403104
51	0.5235138183
52	0.5217488328
53	0.5204597976
54	0.519313755
55	0.5173314655
56	0.5162714984
57	0.5151006592
58	0.5140590725
59	0.5122592668
60	0.5112420431
61	0.5101502323
62	0.5086731224
63	0.5075435135
64	0.5063879939
65	0.5050539802
66	0.504051442
67	0.5032254817
68	0.5020472531
69	0.5010163204
70	0.4995575687
71	0.497990632
72	0.496329187
73	0.4952368029
74	0.4943981369
75	0.4933256994
76	0.4921556417
77	0.4905869455
78	0.4898440187
79	0.4883793461
80	0.487156909
81	0.4857654485
82	0.484937821
83	0.4838355394
84	0.4826559895
85	0.481510838
86	0.4805322229
87	0.4792137694
88	0.4783260266
89	0.477383013
90	0.4761358502
91	0.4752501002
92	0.4746607416
93	0.4737642489
94	0.47299799
95	0.4724546588
96	0.4716080856
97	0.4706395663
98	0.4696353118
99	0.4688486448
100	0.4679871183
101	0.4669308496
102	0.4661198204
103	0.4653007791
104	0.4645814218
105	0.4639007992
106	0.4630615861
107	0.4618540619
108	0.460952141
109	0.4595828038
110	0.4589070806
111	0.4578438823
112	0.4571570115
113	0.4564636044
114	0.4558874793
115	0.4550635733
116	0.4543419213
117	0.4534044758
118	0.4527575002
119	0.4518850322
120	0.4511669945
121	0.4501857878
122	0.4489573058
123	0.4480684359
124	0.4472126978
125	0.4464650887
126	0.4454503864
127	0.4444714881
128	0.4437054736
129	0.4430484406
130	0.4424454502
131	0.4413099487
132	0.4404668211
133	0.4394483608
134	0.4385313047
135	0.4375334744
136	0.4363616476
137	0.4353257228
138	0.4345992966
139	0.4337706361
140	0.432908153
141	0.4320549282
142	0.4309301813
143	0.4303277316
144	0.4296572512
145	0.4287303978
146	0.4280251701
147	0.4271520007
148	0.4261831272
149	0.4255993176
150	0.4250224393
151	0.4243500106
152	0.4238018357
153	0.423123442
154	0.4222851427
155	0.4217609244
156	0.4209606296
157	0.4200179735
158	0.4191750937
159	0.418268986
160	0.4175135596
161	0.4168412286
162	0.4162043417
163	0.4157618394
164	0.4148336304
165	0.4142893137
166	0.4137923257
167	0.4129913017
168	0.4121358788
169	0.4116375346
170	0.4109954234
171	0.4101493965
172	0.4094726847
173	0.408918711
174	0.4082297864
175	0.4075570459
176	0.4071901507
177	0.4064726083
178	0.4058573851
179	0.4051870893
180	0.404766784
181	0.4039909239
182	0.4032527755
183	0.4026088288
184	0.4018423506
185	0.4012570058
186	0.4006671022
187	0.4001034196
188	0.3994873213
189	0.3989750638
190	0.3984115601
191	0.3978141134
192	0.3971462277
193	0.3962691339
194	0.3958441609
195	0.3951204275
196	0.3946328215
197	0.3938994603
198	0.3933888474
199	0.3927520212
200	0.3921950489
201	0.3912947065
202	0.390605426
203	0.3901212935
204	0.3895870161
205	0.3891481286
206	0.3887576353
207	0.3881438268
208	0.387519969
209	0.3870010995
210	0.3865188885
211	0.3858916486
212	0.3854795505
213	0.3849344302
214	0.3843082828
215	0.3833292691
216	0.3828644752
217	0.3821797818
218	0.3817157601
219	0.3810940057
220	0.3806233632
221	0.380020447
222	0.3795803863
223	0.3790251322
224	0.3783574316
225	0.3779383379
226	0.3772990791
227	0.3768398297
228	0.3764438835
229	0.3759382619
230	0.3753702596
231	0.3748314897
232	0.3744044076
233	0.3739259893
234	0.3733731278
235	0.3729631301
236	0.3724209903
237	0.3719245832
238	0.3716410092
239	0.3710599543
240	0.3705971399
241	0.3697694577
242	0.3693470907
243	0.3688398415
244	0.3682847826
245	0.3678162302
246	0.3673625295
247	0.3667373005
248	0.3661170527
249	0.36546704
250	0.3651504251
251	0.3646688236
252	0.3641036531
253	0.3636729348
254	0.3631131391
255	0.3626785453
256	0.3622366331
257	0.3618462766
258	0.3614247261
259	0.3610130975
260	0.3606955585
261	0.3600817419
262	0.359659119
263	0.3593080758
264	0.3588922299
265	0.358451414
266	0.3581345771
267	0.357823142
268	0.3574911942
269	0.3570070153
270	0.3566124191
271	0.3561480673
272	0.3556310028
273	0.3550446778
274	0.3546604614
275	0.3542227711
276	0.3538047014
277	0.353432426
278	0.3528295913
279	0.3523563241
280	0.3519799203
281	0.3516501536
282	0.3512852097
283	0.3508755697
284	0.3504295267
285	0.34984399
286	0.3494958764
287	0.3492217002
288	0.3487306002
289	0.3482361457
290	0.3479233953
291	0.3475041937
292	0.3471463288
293	0.3467876009
294	0.3462518872
295	0.3457550718
296	0.3454249199
297	0.3449727614
298	0.3445203245
299	0.344150705
300	0.3437877414
301	0.3434378006
302	0.343014972
303	0.3424586761
304	0.3419825657
305	0.3414669691
306	0.3410978608
307	0.3407497362
308	0.3402979127
309	0.3398468692
310	0.339552301
311	0.3391599373
312	0.3388702087
313	0.3384915936
314	0.3380583815
315	0.3377070214
316	0.3373361814
317	0.3369481595
318	0.3363900792
319	0.3360634455
320	0.3354037932
321	0.3347429488
322	0.334316962
323	0.3339260598
324	0.333587375
325	0.3332916101
326	0.3328638473
327	0.3324530136
328	0.3321587762
329	0.3318745814
330	0.3315916243
331	0.3311600972
332	0.3308025348
333	0.3304312941
334	0.33003455
335	0.3297908833
336	0.329384337
337	0.3290037886
338	0.3286401511
339	0.3279516217
340	0.3276750568
341	0.3269861404
342	0.3267079053
343	0.3264165194
344	0.3260724573
345	0.3257460821
346	0.32534486
347	0.3250041896
348	0.3247152108
349	0.3242710138
350	0.3239758891
351	0.3236051882
352	0.3232531209
353	0.3227383196
354	0.3224542027
355	0.3219672291
356	0.3214793341
357	0.3210878791
358	0.3208523693
359	0.3206075587
360	0.3203024789
361	0.3197443172
362	0.3194809992
363	0.3190286141
364	0.3186561204
365	0.3183600792
366	0.3181078479
367	0.3178260132
368	0.3174449139
369	0.3170299566
370	0.3167269748
371	0.3164098743
372	0.3162007647
373	0.3156473954
374	0.3152711496
375	0.3150663432
376	0.3145811822
377	0.3143123765
378	0.3139305703
379	0.3136423056
380	0.3131452439
381	0.3127864469
382	0.3124954037
383	0.3120838544
384	0.311787121
385	0.3114751279
386	0.3111471928
387	0.3108448684
388	0.3104778864
389	0.3101463175
390	0.3098007366
391	0.3094166104
392	0.3091737508
393	0.3089161307
394	0.3087298152
395	0.3083460497
396	0.3079707029
397	0.3075473847
398	0.3072421297
399	0.3069560145
400	0.3067062245
401	0.3064314698
402	0.3061674891
403	0.3057597054
404	0.3054025682
405	0.3051154227
406	0.3048197944
407	0.3044191034
408	0.3040916208
409	0.3036643386
410	0.3032836605
411	0.3028574077
412	0.3025570718
413	0.3022153992
414	0.3020555536
415	0.3017128692
416	0.3014842786
417	0.3010497708
418	0.3007246793
419	0.3004425576
420	0.3001193158
421	0.2998388188
422	0.2995214081
423	0.2992914127
424	0.2990396667
