iter	Passed	Remaining
0	62	62902
1	124	62030
2	205	68152
3	280	69826
4	362	72105
5	434	71980
6	500	70937
7	578	71756
8	649	71525
9	738	73080
10	801	72077
11	853	70298
12	919	69793
13	977	68867
14	1038	68214
15	1095	67385
16	1157	66936
17	1206	65816
18	1259	65053
19	1318	64605
20	1383	64484
21	1437	63915
22	1497	63620
23	1555	63246
24	1620	63187
25	1678	62873
26	1746	62950
27	1805	62691
28	1855	62116
29	1910	61783
30	1966	61472
31	2028	61360
32	2087	61184
33	2151	61121
34	2201	60702
35	2261	60557
36	2331	60670
37	2371	60041
38	2429	59855
39	2481	59547
40	2539	59396
41	2589	59070
42	2643	58826
43	2700	58683
44	2769	58779
45	2828	58653
46	2886	58525
47	2945	58427
48	2992	58074
49	3053	58025
50	3111	57902
51	3167	57743
52	3227	57665
53	3278	57435
54	3339	57378
55	3400	57319
56	3449	57067
57	3512	57055
58	3575	57032
59	3651	57208
60	3701	56986
61	3765	56964
62	3850	57265
63	3922	57363
64	3984	57314
65	4066	57553
66	4144	57710
67	4197	57533
68	4254	57409
69	4317	57367
70	4391	57457
71	4450	57363
72	4503	57188
73	4556	57018
74	4615	56923
75	4675	56840
76	4730	56710
77	4789	56619
78	4858	56638
79	4919	56577
80	4993	56649
81	5056	56606
82	5111	56470
83	5183	56524
84	5255	56576
85	5332	56668
86	5386	56530
87	5465	56640
88	5529	56596
89	5594	56570
90	5650	56445
91	5705	56310
92	5752	56101
93	5804	55941
94	5867	55899
95	5916	55717
96	5969	55572
97	6032	55522
98	6094	55463
99	6147	55323
100	6215	55321
101	6280	55296
102	6336	55181
103	6392	55077
104	6458	55053
105	6514	54947
106	6570	54836
107	6631	54775
108	6689	54679
109	6761	54703
110	6817	54603
111	6874	54507
112	6934	54433
113	6990	54330
114	7037	54161
115	7098	54097
116	7155	54001
117	7211	53904
118	7259	53746
119	7317	53665
120	7381	53619
121	7443	53570
122	7498	53464
123	7570	53482
124	7637	53459
125	7690	53346
126	7759	53340
127	7821	53280
128	7871	53146
129	7926	53043
130	7982	52950
131	8043	52892
132	8104	52834
133	8158	52723
134	8212	52620
135	8275	52573
136	8340	52538
137	8399	52467
138	8453	52361
139	8508	52268
140	8568	52202
141	8619	52080
142	8695	52112
143	8752	52028
144	8800	51894
145	8868	51873
146	8925	51792
147	9006	51849
148	9081	51870
149	9135	51768
150	9190	51675
151	9254	51628
152	9299	51481
153	9351	51373
154	9425	51384
155	9474	51261
156	9531	51176
157	9593	51125
158	9663	51112
159	9718	51023
160	9775	50941
161	9828	50839
162	9877	50719
163	9920	50572
164	9987	50540
165	10035	50420
166	10096	50362
167	10161	50325
168	10215	50233
169	10264	50115
170	10325	50056
171	10396	50046
172	10461	50008
173	10518	49933
174	10591	49929
175	10642	49826
176	10687	49693
177	10740	49599
178	10793	49503
179	10850	49429
180	10904	49341
181	10961	49264
182	11009	49153
183	11067	49082
184	11127	49020
185	11190	48975
186	11249	48907
187	11321	48899
188	11382	48840
189	11439	48767
190	11491	48671
191	11547	48597
192	11618	48578
193	11673	48500
194	11722	48394
195	11782	48333
196	11838	48257
197	11894	48178
198	11943	48074
199	12005	48021
200	12055	47922
201	12111	47847
202	12172	47792
203	12230	47723
204	12291	47665
205	12341	47570
206	12396	47491
207	12452	47415
208	12504	47325
209	12566	47273
210	12633	47239
211	12713	47257
212	12771	47187
213	12833	47136
214	12901	47104
215	12976	47101
216	13041	47056
217	13104	47007
218	13159	46928
219	13239	46940
220	13298	46876
221	13360	46823
222	13418	46752
223	13478	46694
224	13551	46677
225	13604	46592
226	13657	46509
227	13711	46425
228	13767	46352
229	13828	46293
230	13885	46223
231	13952	46186
232	14008	46115
233	14070	46059
234	14126	45986
235	14187	45928
236	14251	45880
237	14301	45787
238	14351	45695
239	14413	45642
240	14473	45583
241	14550	45575
242	14605	45500
243	14657	45415
244	14720	45363
245	14788	45326
246	14845	45258
247	14908	45205
248	14966	45139
249	15023	45071
250	15083	45009
251	15137	44930
252	15195	44865
253	15250	44790
254	15300	44701
255	15353	44621
256	15411	44554
257	15466	44482
258	15536	44449
259	15588	44368
260	15643	44293
261	15703	44233
262	15761	44167
263	15806	44066
264	15866	44007
265	15923	43940
266	15975	43858
267	16026	43775
268	16074	43682
269	16128	43606
270	16182	43531
271	16244	43478
272	16295	43393
273	16352	43329
274	16411	43266
275	16489	43255
276	16552	43204
277	16603	43120
278	16658	43049
279	16712	42974
280	16771	42914
281	16835	42865
282	16892	42797
283	16941	42712
284	17000	42651
285	17106	42706
286	17164	42641
287	17213	42556
288	17273	42495
289	17339	42451
290	17393	42378
291	17455	42324
292	17512	42257
293	17567	42187
294	17625	42122
295	17685	42061
296	17737	41984
297	17802	41937
298	17861	41876
299	17923	41822
300	17975	41743
301	18038	41690
302	18090	41614
303	18150	41554
304	18199	41470
305	18253	41398
306	18302	41313
307	18352	41233
308	18403	41154
309	18470	41111
310	18528	41047
311	18590	40994
312	18650	40936
313	18706	40867
314	18787	40854
315	18850	40803
316	18912	40748
317	18962	40667
318	19032	40630
319	19083	40553
320	19150	40508
321	19210	40449
322	19270	40390
323	19325	40320
324	19382	40255
325	19423	40157
326	19478	40087
327	19527	40008
328	19583	39941
329	19643	39881
330	19695	39807
331	19751	39740
332	19797	39654
333	19849	39580
334	19901	39506
335	19954	39432
336	20010	39366
337	20065	39300
338	20108	39207
339	20179	39171
340	20230	39095
341	20290	39038
342	20349	38978
343	20399	38901
344	20457	38839
345	20500	38749
346	20555	38682
347	20613	38619
348	20668	38553
349	20718	38477
350	20775	38413
351	20825	38337
352	20874	38259
353	20933	38200
354	20976	38112
355	21032	38047
356	21087	37981
357	21143	37916
358	21188	37831
359	21248	37775
360	21298	37700
361	21366	37657
362	21412	37575
363	21473	37520
364	21533	37463
365	21588	37396
366	21643	37329
367	21694	37257
368	21748	37190
369	21811	37138
370	21878	37093
371	21932	37025
372	21975	36939
373	22028	36871
374	22075	36792
375	22126	36721
376	22183	36659
377	22230	36579
378	22277	36502
379	22337	36444
380	22389	36375
381	22455	36327
382	22502	36251
383	22558	36187
384	22614	36124
385	22664	36052
386	22715	35980
387	22767	35912
388	22830	35858
389	22890	35803
390	22949	35745
391	23015	35697
392	23063	35622
393	23107	35541
394	23145	35449
395	23199	35385
396	23254	35320
397	23312	35261
398	23375	35208
399	23437	35156
400	23487	35084
401	23537	35013
402	23592	34949
403	23655	34897
404	23711	34835
405	23761	34763
406	23818	34703
407	23871	34637
408	23932	34582
409	24000	34537
410	24071	34496
411	24144	34458
412	24194	34387
413	24247	34321
414	24306	34263
415	24390	34240
416	24461	34198
417	24527	34150
418	24584	34089
419	24635	34020
420	24689	33955
421	24749	33899
422	24802	33832
423	24855	33766
424	24904	33694
425	24952	33620
426	25009	33561
427	25054	33484
428	25112	33424
429	25158	33348
430	25223	33299
431	25288	33249
432	25329	33168
433	25379	33098
434	25441	33044
435	25503	32990
436	25550	32917
437	25600	32848
438	25648	32776
439	25704	32714
440	25748	32638
441	25809	32582
442	25870	32528
443	25923	32462
444	25966	32385
445	26013	32312
446	26070	32253
447	26113	32175
448	26162	32106
449	26216	32042
450	26285	31997
451	26339	31933
452	26399	31877
453	26462	31825
454	26520	31766
455	26582	31712
456	26634	31646
457	26701	31598
458	26757	31537
459	26814	31477
460	26879	31427
461	26933	31364
462	26999	31314
463	27056	31255
464	27108	31189
465	27174	31140
466	27237	31086
467	27283	31014
468	27340	30955
469	27386	30882
470	27438	30817
471	27503	30766
472	27559	30705
473	27606	30634
474	27667	30580
475	27725	30521
476	27782	30461
477	27837	30399
478	27896	30343
479	27947	30276
480	28004	30216
481	28055	30150
482	28120	30100
483	28168	30031
484	28221	29967
485	28277	29906
486	28325	29837
487	28372	29768
488	28421	29699
489	28476	29638
490	28527	29572
491	28584	29514
492	28644	29457
493	28713	29410
494	28775	29357
495	28825	29290
496	28887	29236
497	28937	29169
498	28992	29108
499	29061	29061
500	29120	29003
501	29174	28941
502	29241	28893
503	29290	28825
504	29339	28758
505	29395	28698
506	29459	28645
507	29515	28586
508	29573	28527
509	29629	28467
510	29689	28411
511	29750	28356
512	29817	28305
513	29885	28257
514	29942	28197
515	29998	28138
516	30082	28103
517	30150	28054
518	30232	28018
519	30303	27972
520	30380	27930
521	30440	27874
522	30516	27832
523	30583	27782
524	30654	27735
525	30742	27702
526	30838	27678
527	30920	27640
528	30994	27596
529	31055	27539
530	31121	27487
531	31202	27448
532	31264	27393
533	31322	27333
534	31378	27273
535	31431	27209
536	31511	27169
537	31577	27116
538	31641	27062
539	31715	27016
540	31791	26972
541	31842	26907
542	31895	26843
543	31962	26792
544	32027	26738
545	32100	26691
546	32164	26637
547	32218	26574
548	32281	26518
549	32324	26447
550	32381	26387
551	32441	26329
552	32504	26274
553	32565	26216
554	32632	26165
555	32698	26111
556	32747	26045
557	32800	25981
558	32842	25909
559	32903	25853
560	32951	25785
561	33000	25719
562	33044	25648
563	33106	25593
564	33167	25535
565	33230	25480
566	33293	25425
567	33351	25365
568	33406	25304
569	33469	25248
570	33526	25189
571	33588	25132
572	33640	25069
573	33706	25015
574	33783	24970
575	33848	24915
576	33904	24855
577	33966	24798
578	34034	24746
579	34095	24689
580	34149	24627
581	34202	24564
582	34262	24506
583	34342	24462
584	34399	24403
585	34461	24346
586	34523	24289
587	34595	24240
588	34656	24182
589	34714	24123
590	34773	24065
591	34838	24010
592	34908	23959
593	34970	23902
594	35038	23849
595	35090	23786
596	35154	23731
597	35239	23689
598	35300	23631
599	35356	23571
600	35421	23516
601	35493	23465
602	35550	23405
603	35612	23348
604	35676	23292
605	35728	23229
606	35780	23165
607	35827	23099
608	35882	23037
609	35936	22975
610	36001	22920
611	36066	22865
612	36119	22803
613	36184	22748
614	36248	22692
615	36300	22628
616	36357	22568
617	36415	22509
618	36481	22454
619	36561	22408
620	36639	22361
621	36704	22306
622	36761	22245
623	36818	22185
624	36879	22127
625	36943	22071
626	36998	22010
627	37049	21946
628	37106	21886
629	37160	21824
630	37203	21755
631	37264	21698
632	37338	21648
633	37388	21584
634	37432	21516
635	37485	21454
636	37541	21393
637	37615	21343
638	37694	21295
639	37769	21245
640	37818	21180
641	37882	21124
642	37925	21056
643	37983	20997
644	38039	20936
645	38103	20880
646	38149	20814
647	38204	20752
648	38275	20700
649	38327	20637
650	38380	20575
651	38431	20512
652	38496	20456
653	38555	20398
654	38615	20339
655	38667	20276
656	38719	20214
657	38781	20156
658	38852	20104
659	38896	20037
660	38969	19985
661	39026	19926
662	39083	19866
663	39144	19808
664	39206	19750
665	39256	19687
666	39312	19626
667	39395	19579
668	39451	19519
669	39501	19456
670	39556	19395
671	39621	19339
672	39689	19284
673	39745	19224
674	39813	19169
675	39860	19104
676	39926	19049
677	39999	18996
678	40052	18935
679	40112	18876
680	40172	18817
681	40247	18766
682	40297	18703
683	40357	18644
684	40433	18593
685	40494	18535
686	40551	18475
687	40603	18413
688	40665	18355
689	40726	18297
690	40783	18237
691	40841	18178
692	40894	18116
693	40952	18056
694	41012	17998
695	41070	17938
696	41127	17878
697	41178	17816
698	41235	17756
699	41292	17696
700	41350	17637
701	41408	17577
702	41468	17519
703	41531	17461
704	41614	17413
705	41676	17355
706	41727	17293
707	41791	17235
708	41844	17174
709	41890	17110
710	41933	17044
711	41990	16984
712	42043	16923
713	42113	16868
714	42167	16807
715	42231	16751
716	42292	16692
717	42349	16633
718	42413	16575
719	42466	16514
720	42528	16456
721	42582	16396
722	42636	16335
723	42690	16274
724	42755	16217
